id,name,nrate,pic_url
40834,Dominion: Intrigue,25483,https://cf.geekdo-images.com/micro/img/8sKxLa5UZhgYkxhW4fW_9L5hc0Q=/fit-in/64x64/pic460011.jpg
70919,Takenoko,24784,https://cf.geekdo-images.com/micro/img/YfLo4OlZdwlyYC0LT-SgFHZJG-g=/fit-in/64x64/pic1912529.jpg
147020,Star Realms,24470,https://cf.geekdo-images.com/micro/img/IsrsCTj06By7fbhJmqJYLhlnYV8=/fit-in/64x64/pic1903816.jpg
181,Risk,24380,https://cf.geekdo-images.com/micro/img/q0yU35kICeM9fN0Mjhk6CEfPgn4=/fit-in/64x64/pic2920766.jpg
54043,Jaipur,24174,https://cf.geekdo-images.com/micro/img/dU7UD0-U8_nAVIzusMMOcrN2GHQ=/fit-in/64x64/pic725500.jpg
6249,Alhambra,23554,https://cf.geekdo-images.com/micro/img/8sgjxYLtCxVNJz21LTfoML5L-Sw=/fit-in/64x64/pic1502118.jpg
31481,Galaxy Trucker,23528,https://cf.geekdo-images.com/micro/img/WKPu4_oEvavVxrXNxS_mi_kNGvE=/fit-in/64x64/pic3926631.jpg
18602,Caylus,23519,https://cf.geekdo-images.com/micro/img/Nx8m7UPsqGYNWo3f3evh6Rn82TU=/fit-in/64x64/pic1638795.jpg
121921,Robinson Crusoe: Adventures on the Cursed Island,23209,https://cf.geekdo-images.com/micro/img/okpJX4eT2-Bw772w0e69fZFYxFY=/fit-in/64x64/pic3165731.jpg
133473,Sushi Go!,22983,https://cf.geekdo-images.com/micro/img/L3z2rUiX5RLqdHuOBx_fQfR8zHk=/fit-in/64x64/pic1900075.jpg
124742,Android: Netrunner,22812,https://cf.geekdo-images.com/micro/img/XbmO8lpZjYE0RcDp-Xyf9xp8GtE=/fit-in/64x64/pic3738560.jpg
2655,Hive,22794,https://cf.geekdo-images.com/micro/img/C_6UVDIsd8LLCdCn_hdcUIH0Mbk=/fit-in/64x64/pic791151.jpg
72125,Eclipse,22652,https://cf.geekdo-images.com/micro/img/HrGAtWyhYIvBbmSPELAkLswddEE=/fit-in/64x64/pic1974056.jpg
171,Chess,22577,https://cf.geekdo-images.com/micro/img/aeZZCLitrGAjWqfqoN4Ggqk95ic=/fit-in/64x64/pic260745.jpg
157354,Five Tribes,22359,https://cf.geekdo-images.com/micro/img/PI_KBqYjT-llTGHrbPyNdiCHAr8=/fit-in/64x64/pic2055255.jpg
15062,Shadows over Camelot,22266,https://cf.geekdo-images.com/micro/img/bKIB8XZcvMfn3XqlINtBFN1jPlQ=/fit-in/64x64/pic70547.jpg
39463,Cosmic Encounter,22053,https://cf.geekdo-images.com/micro/img/tgMi75YzjO4PvsKhHt0rLCToXyI=/fit-in/64x64/pic1521633.jpg
42,Tigris & Euphrates,21918,https://cf.geekdo-images.com/micro/img/9GVLbt1FRLx2Q_ak3Qv5WhNTVuc=/fit-in/64x64/pic2338267.jpg
3955,BANG!,21747,https://cf.geekdo-images.com/micro/img/7eBZ6Yj-tWVCJqJ_PPSnbJ_jVaA=/fit-in/64x64/pic1170986.jpg
1406,Monopoly,21725,https://cf.geekdo-images.com/micro/img/-CQPhJLkFj5fvptg-7waU_zKE4M=/fit-in/64x64/pic3640835.jpg
96848,Mage Knight Board Game,21577,https://cf.geekdo-images.com/micro/img/6jDMTog_WxQPbEqRCyj6KtpIQ3w=/fit-in/64x64/pic1083380.jpg
103343,A Game of Thrones: The Board Game (Second Edition),21544,https://cf.geekdo-images.com/micro/img/OSMcQVBY9QJ-u-Y0asq31fjS980=/fit-in/64x64/pic1077906.jpg
126163,Tzolk'in: The Mayan Calendar,21458,https://cf.geekdo-images.com/micro/img/CvnpDupLiwOSNCGbJLk4wdoRSww=/fit-in/64x64/pic1413480.jpg
320,Scrabble,21431,https://cf.geekdo-images.com/micro/img/46JQ1nwY4us5FzolqL3mkJWKbKg=/fit-in/64x64/pic404651.jpg
35677,Le Havre,21402,https://cf.geekdo-images.com/micro/img/r_-SRWp3mhW7AbuyZtAXKspPf8Q=/fit-in/64x64/pic3330230.jpg
102794,Caverna: The Cave Farmers,21216,https://cf.geekdo-images.com/micro/img/xrKeGLQ8OhvUiaZ2ctC4829RQzs=/fit-in/64x64/pic1790789.jpg
10630,Memoir '44,21188,https://cf.geekdo-images.com/micro/img/h-Kjq9AZZNSqPle90-E_K9jNbag=/fit-in/64x64/pic43663.jpg
170216,Blood Rage,21109,https://cf.geekdo-images.com/micro/img/P2Hw9b5BDQNLRtNcqgr1zNYW-cw=/fit-in/64x64/pic2439223.jpg
146021,Eldritch Horror,20659,https://cf.geekdo-images.com/micro/img/AzYGKboFU4IpIjJ-OMLp-3yaMSs=/fit-in/64x64/pic1872452.jpg
18,RoboRally,20553,https://cf.geekdo-images.com/micro/img/td1FQrF52K5lCT7M9BGa_Rvi8TU=/fit-in/64x64/pic1000553.jpg
157969,Sheriff of Nottingham,20351,https://cf.geekdo-images.com/micro/img/69zNKDVM3JbytpZxMBShkdZO6NM=/fit-in/64x64/pic2075830.jpg
93,El Grande,20062,https://cf.geekdo-images.com/micro/img/p1EReuLjvKk2grV_6vCEvFs1h1k=/fit-in/64x64/pic180538.jpg
8217,San Juan,19908,https://cf.geekdo-images.com/micro/img/iQ9wJAjo0YYN45-owtzdES3ZY6c=/fit-in/64x64/pic174174.jpg
128882,The Resistance: Avalon,19800,https://cf.geekdo-images.com/micro/img/35XJD0_3krQNrNXwCV9mPuW2aTY=/fit-in/64x64/pic1398895.jpg
103885,Star Wars: X-Wing Miniatures Game,19441,https://cf.geekdo-images.com/micro/img/pxb4ix8zoccsASKjJ55jwYxeeDo=/fit-in/64x64/pic1603292.jpg
